substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
Pyr-AMC,kill,killed,109.521863,4478.949482,67.2490457,66.60684655,0.164326268,0.346605194,7,0.071904424,0.044151037,PP,2015
GlyGlyArg-AMC,1,live,11801.78935,6159.920408,39.65055203,39.27905457,8.12E-12,0.999943565,7,7.748232536,0.02603179,PP,2015
GlyGlyArg-AMC,2,live,12377.8378,6386.250994,114.6483159,113.5741428,1.29E-09,0.999571225,7,8.126425814,0.075270096,PP,2015
GlyGlyArg-AMC,3,live,11445.23925,6337.654354,118.1325582,117.5828064,2.22E-09,0.999467612,7,7.514146584,0.077557606,PP,2015
GlyGlyArg-AMC,kill,killed,174.1607829,5610.1479,14.37266501,14.43924104,6.76E-05,0.967069263,7,0.114341834,0.00943609,PP,2015
Arg-AMC,1,live,12190.17297,32916.55798,187.5210458,90.21659408,0.000236552,0.999526952,4,8.094732369,0.124521012,TW,2015
Arg-AMC,2,live,16211.2426,47820.2998,357.4900409,173.6322827,0.000485936,0.999028365,4,10.76487353,0.237386804,TW,2015
Arg-AMC,3,live,16483.64121,43139.04352,746.6785753,364.4177347,0.002045629,0.995912927,4,10.94575642,0.495822598,TW,2015
Arg-AMC,kill,killed,13.49376504,41051.54627,698.903578,344.3179055,0.986349127,0.000186346,4,0.008960366,0.464098207,TW,2015
Gly-AMC,1,live,-7.074293228,15632.41815,977.884963,488.3309209,0.994884659,2.62E-05,4,-0.004697596,0.649352317,TW,2015
Gly-AMC,2,live,5835.410914,19436.643,389.4359313,194.4744159,0.004424249,0.991171076,4,3.87493186,0.258600075,TW,2015
Gly-AMC,3,live,3155.587508,28194.02359,4110.728484,2073.270678,0.522941329,0.227584976,4,2.09542854,2.729677996,TW,2015
Gly-AMC,kill,killed,1115.879672,15177.25114,367.3647663,186.1657175,0.093440012,0.821851012,4,0.740985983,0.243943993,TW,2015
Leu-AMC,1,live,8979.134002,37712.61805,4164.41851,2110.360141,0.163816294,0.699203189,4,5.96248198,2.765330189,TW,2015
Leu-AMC,2,live,22197.0438,38077.03102,117.4134289,60.31541541,2.80E-05,0.999944043,4,14.73967018,0.077966923,TW,2015
Leu-AMC,3,live,22214.41024,37498.44552,692.4667766,358.9360344,0.000970277,0.998060387,4,14.75120215,0.459823929,TW,2015
Leu-AMC,kill,killed,-143.2178669,27520.50456,238.6853817,124.3113248,0.609417926,0.152554357,4,-0.095102039,0.158496052,TW,2015
Pyr-AMC,1,live,-8097.319964,50782.81632,5883.311972,3064.126929,0.302559551,0.48642318,4,-5.376924363,3.906739961,TW,2015
Pyr-AMC,2,live,2048.468113,51567.22463,540.2655162,284.8516881,0.06305203,0.877871499,4,1.36025971,0.35875658,TW,2015
Pyr-AMC,3,live,-205.3291395,64400.25365,1255.669255,668.626684,0.885137999,0.013193279,4,-0.136346255,0.833811513,TW,2015
Pyr-AMC,kill,killed,3361.887216,53402.14289,712.2804539,379.2795881,0.042075782,0.917618807,4,2.232419289,0.472980955,TW,2015
GlyGlyArg-AMC,1,live,159423.9107,47842.45761,2989.076217,1599.225613,0.000351349,0.999297426,4,105.8634601,1.984858793,TW,2015
GlyGlyArg-AMC,2,live,135436.0126,75057.09419,14938.75358,8063.045303,0.011948731,0.97624531,4,89.9345955,9.919893054,TW,2015
GlyGlyArg-AMC,3,live,199857.0479,67898.13997,1424.755329,779.0146444,5.08E-05,0.999898369,4,132.7125808,0.946091012,TW,2015
GlyGlyArg-AMC,kill,killed,-7906.98268,43570.81677,2553.467169,1402.793979,0.090374521,0.827418512,4,-5.250533263,1.695598036,TW,2015
Arg-AMC,1,live,7697.075841,3293.071149,173.6607027,158.6203696,1.10E-07,0.997461264,7,9.487787294,0.214062566,VP,2015
Arg-AMC,2,live,7347.234696,3583.964041,407.3402076,373.1217667,9.62E-06,0.984863935,7,9.056556209,0.502107206,VP,2015
Arg-AMC,3,live,7828.496264,3347.724293,215.647772,197.9616493,2.99E-07,0.996220289,7,9.649782453,0.265817855,VP,2015
Arg-AMC,kill,killed,161.8426937,2861.10669,22.09337963,20.36956504,0.00074323,0.914765055,7,0.199495118,0.027233366,VP,2015
Gly-AMC,1,live,2357.744748,3567.798124,264.4761748,245.2537973,0.000295744,0.940809599,7,2.906270008,0.326006102,VP,2015
Gly-AMC,2,live,1785.926831,3618.671253,124.790884,115.8090438,3.00E-05,0.976169474,7,2.201419637,0.153823268,VP,2015
Gly-AMC,3,live,1510.335074,3659.785942,558.9932528,520.2037421,0.042687853,0.593501837,7,1.861711931,0.689042071,VP,2015
Gly-AMC,kill,killed,191.5909091,3442.920455,33.41507558,31.1411966,0.002259878,0.867986572,7,0.236164205,0.041189035,VP,2015
Leu-AMC,1,live,13037.84316,4411.323982,321.0289475,300.0907313,1.71E-07,0.996977736,7,16.07107494,0.39571578,VP,2015
Leu-AMC,2,live,12903.13385,4102.643237,298.0891357,281.5863753,1.24E-07,0.997338573,7,15.90502575,0.36743906,VP,2015
Leu-AMC,3,live,12371.52553,5512.208148,612.2317956,579.1727784,5.49E-06,0.987903224,7,15.24973966,0.75466647,VP,2015
Leu-AMC,kill,killed,93.86298034,3462.543275,71.47767268,67.62854676,0.246155479,0.256443565,7,0.115700041,0.08810683,VP,2015
Pyr-AMC,1,live,395.5474354,4017.249921,20.51410602,19.45023144,6.92E-06,0.986729835,7,0.487570866,0.025286677,VP,2015
Pyr-AMC,2,live,280.3510092,3923.14275,78.26914416,75.04073735,0.015843281,0.719572089,7,0.345574189,0.096478326,VP,2015
Pyr-AMC,3,live,412.7426956,3967.498227,41.62655963,39.91732032,0.000178057,0.951604102,7,0.508766574,0.051310907,VP,2015
Pyr-AMC,kill,killed,52.87073787,4012.553491,301.2632594,289.3103442,0.867575191,0.006122114,7,0.065171024,0.371351639,VP,2015
GlyGlyArg-AMC,1,live,7012.74868,1760.670727,249.2093696,239.8206685,1.06E-06,0.993725364,7,8.644252598,0.307187501,VP,2015
GlyGlyArg-AMC,2,live,6013.520579,1785.654377,146.097618,141.664834,1.60E-07,0.997057484,7,7.412555797,0.180086978,VP,2015
GlyGlyArg-AMC,3,live,6202.365693,1762.647637,171.1109782,166.520391,3.01E-07,0.996208933,7,7.645335402,0.210919653,VP,2015
GlyGlyArg-AMC,kill,killed,112.0923657,1886.589695,23.36149933,22.73475403,0.004891552,0.821571331,7,0.138170462,0.028796512,VP,2015
Arg-AMC,1,live,2454.611544,6101.123577,53.51084401,56.49784649,7.19E-09,0.997156634,8,1.622174574,0.035363612,LL,2015
Arg-AMC,2,live,2538.605135,5959.401704,38.4976861,40.78315104,8.18E-10,0.998622057,8,1.677683262,0.025441894,LL,2015
Arg-AMC,3,live,2537.069285,6034.154888,39.18937625,41.71132859,9.13E-10,0.998570441,8,1.676668268,0.02589901,LL,2015
Arg-AMC,kill,killed,70.38954705,5392.046053,19.07815911,20.40925894,0.010214359,0.694075354,8,0.046518209,0.012608148,LL,2015
Gly-AMC,1,live,938.0340461,2171.894359,9.664207539,10.33895825,8.06E-11,0.999363542,8,0.619916819,0.006386767,LL,2015
Gly-AMC,2,live,959.6546053,2353.313734,6.212110306,6.69885363,4.96E-12,0.999748643,8,0.634205157,0.004105386,LL,2015
Gly-AMC,3,live,953.5499078,2290.662585,8.592470694,9.330241128,3.61E-11,0.999513045,8,0.630170757,0.00567849,LL,2015
Gly-AMC,kill,killed,6176.957792,-1190.829972,3508.843428,3813.653953,0.128824421,0.340586729,8,4.082154629,2.318882842,LL,2015
Leu-AMC,1,live,7973.400493,6246.854544,141.1736684,154.2223165,2.07E-09,0.998122606,8,5.269366381,0.09329718,LL,2015
Leu-AMC,2,live,8886.814268,5848.750821,398.073724,438.2767296,5.28E-07,0.988104331,8,5.873012446,0.263074243,LL,2015
Leu-AMC,3,live,1977.00966,11540.68467,3447.610018,3809.797566,0.5871783,0.051958592,8,1.306542704,2.278415632,LL,2015
Leu-AMC,kill,killed,607.8725764,4378.445256,393.4184967,436.5254055,0.173274914,0.284636729,8,0.401723621,0.259997752,LL,2015
Pyr-AMC,1,live,-4.710384775,6793.599866,135.7705195,151.0775402,0.973449364,0.000200569,8,-0.003112943,0.089726411,LL,2015
Pyr-AMC,2,live,-192.4477194,7176.877199,95.40138317,106.4484512,0.090244488,0.404127435,8,-0.127182567,0.063047735,LL,2015
Pyr-AMC,3,live,-374.2462506,6551.962016,252.5650379,283.8705065,0.188908907,0.267906727,8,-0.247327425,0.166912188,LL,2015
Pyr-AMC,kill,killed,2034.808219,3704.382905,1065.103867,1199.244075,0.104645259,0.378222194,8,1.34473993,0.703893215,LL,2015
GlyGlyArg-AMC,1,live,2354.647917,6256.468281,40.67037059,45.99579376,1.78E-09,0.998213188,8,1.556111798,0.026877752,LL,2015
GlyGlyArg-AMC,2,live,2442.391619,6252.601592,85.30596247,97.41821188,1.20E-07,0.992733719,8,1.614098815,0.056375993,LL,2015
GlyGlyArg-AMC,3,live,501.5668998,7612.657755,1090.089354,1248.275938,0.661635891,0.034081809,8,0.331469586,0.720405328,LL,2015
GlyGlyArg-AMC,kill,killed,-20.46204272,5271.416526,15.21441111,17.42568584,0.227260478,0.231634927,8,-0.013522712,0.01005472,LL,2015
