substrate,replicate,treatment,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,calib.se,location,year
GlyGlyArg-AMC,kill,killed,7208.976024,134424.668,7104.465416,6294.349654,0.384964084,0.255516161,5,4.512531463,4.44711199,AC,2015
Arg-AMC,1,live,578307.3839,197679.0616,10483.31331,12641.40333,2.38E-09,0.998032225,8,421.1494611,7.634420506,BB1,2015
Arg-AMC,2,live,584367.4879,178111.9807,21674.24312,26251.2975,1.72E-07,0.991813523,8,425.5627016,15.78415919,BB1,2015
Arg-AMC,3,live,562645.624,178101.7328,12668.87157,15443.41276,8.73E-09,0.99696724,8,409.7438627,9.226042387,BB1,2015
Arg-AMC,kill,killed,3788.998835,152059.8387,465.6212177,570.2935991,0.000185082,0.916919511,8,2.759319459,0.339086324,BB1,2015
Gly-AMC,1,live,51645.48558,62795.6999,271.9621568,333.099677,1.44E-12,0.999833647,8,37.61056667,0.198055081,BB1,2015
Gly-AMC,2,live,49472.28284,60332.69814,297.6189746,365.3332686,3.20E-12,0.999782903,8,36.02794264,0.21673953,BB1,2015
Gly-AMC,3,live,49887.74904,61079.28848,313.928861,387.3291469,4.19E-12,0.999762468,8,36.33050383,0.228617124,BB1,2015
Gly-AMC,kill,killed,1186.677653,50978.37765,198.9559053,247.0174422,0.000994995,0.855684478,8,0.864192068,0.144888643,BB1,2015
Leu-AMC,1,live,575504.9289,163521.0107,10718.7504,13329.48191,2.80E-09,0.99792299,8,419.1085873,7.805876392,BB1,2015
Leu-AMC,2,live,579358.166,154490.1451,11888.386,14846.93677,5.01E-09,0.997479963,8,421.9146879,8.657657666,BB1,2015
Leu-AMC,3,live,557569.5579,152071.4587,12413.04902,15535.95284,8.15E-09,0.997035029,8,406.047243,9.039740891,BB1,2015
Leu-AMC,kill,killed,-30764.08797,208347.675,51366.83941,64325.4451,0.571137257,0.056409801,8,-22.40379326,37.40764399,BB1,2015
Pyr-AMC,1,live,14328.50536,214807.2715,665.1119316,836.3082799,6.53E-07,0.987236779,8,10.4346624,0.484364439,BB1,2015
Pyr-AMC,2,live,15770.49671,206866.4983,567.7768693,717.9456256,1.44E-07,0.992282948,8,11.48478538,0.413480667,BB1,2015
Pyr-AMC,3,live,15044.84001,211295.0759,636.6774255,807.0250883,3.77E-07,0.98936902,8,10.95632952,0.463657152,BB1,2015
Pyr-AMC,kill,killed,6213.529968,193423.4443,386.1759732,489.5001556,3.66E-06,0.977348631,8,4.524972135,0.281230722,BB1,2015
GlyGlyArg-AMC,1,live,193603.5911,219853.537,3996.167615,5100.606567,5.19E-09,0.997450218,8,140.9908473,2.910189087,BB1,2015
GlyGlyArg-AMC,2,live,182201.7776,233283.3391,2844.963706,3644.256737,9.75E-10,0.998539288,8,132.6875336,2.071830595,BB1,2015
GlyGlyArg-AMC,3,live,181941.823,236252.2448,2721.451246,3487.629112,7.53E-10,0.998659383,8,132.498223,1.981883264,BB1,2015
GlyGlyArg-AMC,kill,killed,2370.251708,206295.5403,395.9084449,508.1842563,0.000975685,0.856605441,8,1.726123956,0.288318346,BB1,2015
Arg-AMC,1,live,294872.6603,116944.3678,2695.518122,3141.110809,1.68E-06,0.999749373,5,274.1812756,2.50637206,BB2,2015
Arg-AMC,2,live,290561.5673,113958.328,8674.359466,10218.12708,5.85E-05,0.997333386,5,270.1726945,8.065674658,BB2,2015
Arg-AMC,3,live,304962.4435,118074.9424,6332.70384,7459.729202,1.97E-05,0.998708051,5,283.5630528,5.888334358,BB2,2015
Arg-AMC,kill,killed,10269.30751,71798.79222,2103.594655,2489.056147,0.016433582,0.888192679,5,9.548704278,1.955984205,BB2,2015
Gly-AMC,1,live,104469.3877,94300.02589,1987.164318,2366.125973,1.52E-05,0.998915725,5,97.1387105,1.847723852,BB2,2015
Gly-AMC,2,live,115057.2052,100278.8952,4559.235669,5454.064739,0.000136444,0.99531147,5,106.9835747,4.239311471,BB2,2015
Gly-AMC,3,live,105224.2243,95142.31363,779.5409481,936.0985298,8.97E-07,0.999835375,5,97.84057978,0.72484011,BB2,2015
Gly-AMC,kill,killed,22467.71761,81837.02262,1959.882225,2358.789707,0.001424666,0.977681717,5,20.89114491,1.822356159,BB2,2015
Leu-AMC,1,live,617448.7387,85279.31057,21175.03378,25581.99602,8.86E-05,0.996484088,5,574.1220044,19.68916945,BB2,2015
Leu-AMC,2,live,661452.077,74869.7281,25345.86276,30620.86072,0.000123426,0.995614392,5,615.0376032,23.56732894,BB2,2015
Leu-AMC,3,live,652506.4288,59116.6248,33666.49605,36061.84821,0.002651528,0.994703974,4,606.7196762,31.3040986,BB2,2015
Leu-AMC,kill,killed,7408.752559,51769.32617,2924.14991,3135.327994,0.126815076,0.762451912,4,6.888876117,2.718960624,BB2,2015
Pyr-AMC,1,live,21398.98303,102828.1763,1266.00057,1554.141392,0.00045097,0.989608785,5,19.89740405,1.177164579,BB2,2015
Pyr-AMC,2,live,13774.89426,113909.8689,5619.282822,6934.497565,0.091568377,0.667006091,5,12.80830198,5.224974504,BB2,2015
Pyr-AMC,3,live,20568.53474,101201.8831,1019.32902,1257.906895,0.000266059,0.992685996,5,19.12522879,0.947802114,BB2,2015
Pyr-AMC,kill,killed,5440.867409,85764.02239,967.5476995,1203.766564,0.011120537,0.913350291,5,5.059078604,0.899654319,BB2,2015
GlyGlyArg-AMC,1,live,84122.71064,76599.34357,5060.211931,6301.267723,0.000473815,0.989261509,5,78.2197715,4.70513394,BB2,2015
GlyGlyArg-AMC,2,live,86052.43793,82714.76937,4814.873512,6017.949872,0.000381999,0.990695249,5,80.01408871,4.477011059,BB2,2015
GlyGlyArg-AMC,3,live,155851.7208,71094.79645,6759.331333,8497.990686,0.000178696,0.994388723,5,144.9155156,6.285025154,BB2,2015
GlyGlyArg-AMC,kill,killed,8034.528477,90433.05328,5316.158388,6709.858666,0.227879192,0.432264608,5,7.470740978,4.943120487,BB2,2015
Arg-AMC,1,live,126103.6364,184433.3333,2587.05407,1224.619896,0.013058614,0.999579299,3,95.04788699,1.949936021,BS,2015
Arg-AMC,2,live,129883.6364,180787.3333,947.9041692,448.7043075,0.004646034,0.999946741,3,97.89698019,0.714462255,BS,2015
Arg-AMC,3,live,135302.7273,182224.2879,2516.197446,1223.85028,0.011837725,0.999654279,3,101.9815027,1.896529374,BS,2015
Arg-AMC,kill,killed,-2837.801009,165712.2559,494.4024767,240.6129679,0.109809916,0.970541442,3,-2.1389311,0.372645168,BS,2015
Gly-AMC,1,live,42823.9726,135595.2329,11069.22826,5387.108662,0.161030234,0.93737143,3,32.27764263,8.343191263,BS,2015
Gly-AMC,2,live,42540,136935,2730.341909,1364.159342,0.040804155,0.995897452,3,32.06360442,2.057936129,BS,2015
Gly-AMC,3,live,49703.0137,137084,4104.248612,2052.504294,0.052450165,0.993227475,3,37.46257099,3.093488574,BS,2015
Gly-AMC,kill,killed,-17502.63158,158691.2895,9087.797106,4544.739938,0.304882779,0.787653253,3,-13.19222979,6.849730406,BS,2015
Leu-AMC,1,live,253974.5455,194620.6061,3853.025751,1976.871606,0.009657362,0.999769896,3,191.4278176,2.904134779,BS,2015
Leu-AMC,2,live,254146.0058,187372.5753,3218.579979,1653.388291,0.00806191,0.999839641,3,191.5570521,2.425935008,BS,2015
Leu-AMC,3,live,266342.7273,187163.8182,5999.194161,3159.744341,0.014337016,0.999492911,3,200.750067,4.521762774,BS,2015
Leu-AMC,kill,killed,-83.18181818,144979.7121,594.4083453,313.0717818,0.911485906,0.01920721,3,-0.062696495,0.448022427,BS,2015
Pyr-AMC,1,live,-6388.702235,207853.9304,9709.53716,5121.638113,0.629508855,0.302134329,3,-4.815346056,7.318353518,BS,2015
Pyr-AMC,2,live,-2235,211995.75,2180.02213,1178.280543,0.49207293,0.512450526,3,-1.684582884,1.643144504,BS,2015
Pyr-AMC,3,live,1081.363636,197847.3864,753.4421013,407.2280534,0.387410291,0.673190727,3,0.81505444,0.567890679,BS,2015
Pyr-AMC,kill,killed,-1622.054795,196452.2808,2647.190529,1445.668389,0.650025465,0.272969111,3,-1.2225887,1.995262575,BS,2015
GlyGlyArg-AMC,1,live,87748.63636,201445.9697,4784.396708,2652.676848,0.034676649,0.997035957,3,66.13863575,3.606135483,BS,2015
GlyGlyArg-AMC,2,live,96080.45455,220604.1212,9901.819549,5489.997814,0.065377692,0.989490752,3,72.41856341,7.463282207,BS,2015
