fluorimeter number,site,substrate ,sample.type,rep,RFU,time,date,exp.time,exp.date,year,when
2,FP2016,2,whole,2,525940.12,15:39,6/1/2016,14:28,6/1/2016,2016,PEEC2077
2,FP2016,2,whole,3,525940.12,15:39,6/1/2016,14:28,6/1/2016,2016,PEEC2078
2,FP2016,2,whole,k,436599.93,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2079
2,FP2016,3,whole,1,570813.43,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2080
2,FP2016,3,whole,2,569480.81,15:40,6/1/2016,14:28,6/1/2016,2016,PEEC2081
2,FP2016,3,whole,3,555259.81,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2082
2,FP2016,3,whole,k,302877.06,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2083
2,FP2016,4,whole,1,432352.12,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2084
2,FP2016,4,whole,2,320024.28,15:41,6/1/2016,14:28,6/1/2016,2016,PEEC2085
2,FP2016,4,whole,3,417534.12,15:42,6/1/2016,14:28,6/1/2016,2016,PEEC2086
2,FP2016,4,whole,k,409387.5,15:42,6/1/2016,14:28,6/1/2016,2016,PEEC2087
2,FP2016,5,whole,1,714206.37,15:42,6/1/2016,14:28,6/1/2016,2016,PEEC2088
2,FP2016,5,whole,2,764269.93,15:42,6/1/2016,14:28,6/1/2016,2016,PEEC2089
2,FP2016,5,whole,3,828541.37,15:43,6/1/2016,14:28,6/1/2016,2016,PEEC2090
2,FP2016,5,whole,k,448535.03,15:43,6/1/2016,14:28,6/1/2016,2016,PEEC2091
2,FP2016,6,whole,1,14876.08,15:43,6/1/2016,14:28,6/1/2016,2016,PEEC2092
2,FP2016,6,whole,2,17528.62,15:43,6/1/2016,14:28,6/1/2016,2016,PEEC2093
2,FP2016,6,whole,3,14706.27,15:44,6/1/2016,14:28,6/1/2016,2016,PEEC2094
2,FP2016,6,whole,k,4626.14,15:44,6/1/2016,14:28,6/1/2016,2016,PEEC2095
2,FP2016,7,whole,1,24141.23,15:44,6/1/2016,14:28,6/1/2016,2016,PEEC2096
2,FP2016,7,whole,2,14062.31,15:44,6/1/2016,14:28,6/1/2016,2016,PEEC2097
2,FP2016,7,whole,3,17737.09,15:45,6/1/2016,14:28,6/1/2016,2016,PEEC2098
2,FP2016,7,whole,k,33790.96,15:45,6/1/2016,14:28,6/1/2016,2016,PEEC2099
2,FP2016,1,whole,1,336823.18,15:51,6/1/2016,14:28,6/1/2016,2016,PEEC2100
2,FP2016,1,whole,2,3833880.81,15:51,6/1/2016,14:28,6/1/2016,2016,PEEC2101
2,FP2016,1,whole,3,364574.21,15:51,6/1/2016,14:28,6/1/2016,2016,PEEC2102
2,FP2016,1,whole,k,238797.21,15:52,6/1/2016,14:28,6/1/2016,2016,PEEC2103
2,FP2016,2,whole,1,479892.93,15:52,6/1/2016,14:28,6/1/2016,2016,PEEC2104
2,FP2016,2,whole,2,510487.93,15:52,6/1/2016,14:28,6/1/2016,2016,PEEC2105
2,FP2016,2,whole,3,555189.31,15:53,6/1/2016,14:28,6/1/2016,2016,PEEC2106
2,FP2016,3,whole,k,453486,15:53,6/1/2016,14:28,6/1/2016,2016,PEEC2107
2,FP2016,3,whole,1,645004.43,15:53,6/1/2016,14:28,6/1/2016,2016,PEEC2108
2,FP2016,3,whole,2,658047.56,15:54,6/1/2016,14:28,6/1/2016,2016,PEEC2109
2,FP2016,3,whole,3,623605.5,15:54,6/1/2016,14:28,6/1/2016,2016,PEEC2110
2,FP2016,3,whole,k,313086.21,15:54,6/1/2016,14:28,6/1/2016,2016,PEEC2111
2,FP2016,4,whole,1,432468.56,15:55,6/1/2016,14:28,6/1/2016,2016,PEEC2112
2,FP2016,4,whole,2,312699.25,15:55,6/1/2016,14:28,6/1/2016,2016,PEEC2113
2,FP2016,4,whole,3,352923.43,15:55,6/1/2016,14:28,6/1/2016,2016,PEEC2114
2,FP2016,4,whole,k,341073.43,15:56,6/1/2016,14:28,6/1/2016,2016,PEEC2115
2,FP2016,5,whole,1,827482.5,15:56,6/1/2016,14:28,6/1/2016,2016,PEEC2116
2,FP2016,5,whole,2,811402.06,15:56,6/1/2016,14:28,6/1/2016,2016,PEEC2117
2,FP2016,5,whole,3,915801.68,15:57,6/1/2016,14:28,6/1/2016,2016,PEEC2118
2,FP2016,5,whole,k,350194.62,15:57,6/1/2016,14:28,6/1/2016,2016,PEEC2119
2,FP2016,6,whole,1,17461.36,15:57,6/1/2016,14:28,6/1/2016,2016,PEEC2120
2,FP2016,6,whole,2,17461.36,15:58,6/1/2016,14:28,6/1/2016,2016,PEEC2121
2,FP2016,6,whole,3,18292.07,15:58,6/1/2016,14:28,6/1/2016,2016,PEEC2122
2,FP2016,6,whole,k,4209.76,15:58,6/1/2016,14:28,6/1/2016,2016,PEEC2123
2,FP2016,7,whole,1,45752.87,15:59,6/1/2016,14:28,6/1/2016,2016,PEEC2124
2,FP2016,7,whole,2,40482.26,15:59,6/1/2016,14:28,6/1/2016,2016,PEEC2125
2,FP2016,7,whole,3,40880.05,15:59,6/1/2016,14:28,6/1/2016,2016,PEEC2126
2,FP2016,7,whole,k,45865.18,16:00,6/1/2016,14:28,6/1/2016,2016,PEEC2127
2,FP2016,1,filter,1,105895.52,14:32,6/1/2016,14:32,6/1/2016,2016,PEEC2128
1,FP2016,1,filter,2,111219.07,14:32,6/1/2016,14:32,6/1/2016,2016,PEEC2129
1,FP2016,1,filter,3,110684.41,14:32,6/1/2016,14:32,6/1/2016,2016,PEEC2130
1,FP2016,1,filter,k,95941.89,14:32,6/1/2016,14:32,6/1/2016,2016,PEEC2131
1,FP2016,2,filter,1,179011.14,14:33,6/1/2016,14:32,6/1/2016,2016,PEEC2132
1,FP2016,2,filter,2,164871.89,14:33,6/1/2016,14:32,6/1/2016,2016,PEEC2133
1,FP2016,2,filter,3,200994.23,14:33,6/1/2016,14:32,6/1/2016,2016,PEEC2134
1,FP2016,2,filter,k,162875.65,14:34,6/1/2016,14:32,6/1/2016,2016,PEEC2135
1,FP2016,3,filter,1,142849.68,14:34,6/1/2016,14:32,6/1/2016,2016,PEEC2136
1,FP2016,3,filter,2,154493.06,14:34,6/1/2016,14:32,6/1/2016,2016,PEEC2137
1,FP2016,3,filter,3,151486.79,14:34,6/1/2016,14:32,6/1/2016,2016,PEEC2138
1,FP2016,3,filter,k,130350.89,14:35,6/1/2016,14:32,6/1/2016,2016,PEEC2139
1,FP2016,4,filter,1,167451.45,14:35,6/1/2016,14:32,6/1/2016,2016,PEEC2140
1,FP2016,4,filter,2,160720.21,14:35,6/1/2016,14:32,6/1/2016,2016,PEEC2141
1,FP2016,4,filter,3,188184.03,14:36,6/1/2016,14:32,6/1/2016,2016,PEEC2142
1,FP2016,4,filter,k,165303.53,14:36,6/1/2016,14:32,6/1/2016,2016,PEEC2143
1,FP2016,5,filter,1,199102.04,14:36,6/1/2016,14:32,6/1/2016,2016,PEEC2144
1,FP2016,5,filter,2,222293.06,14:37,6/1/2016,14:32,6/1/2016,2016,PEEC2145
1,FP2016,5,filter,3,207275.71,14:37,6/1/2016,14:32,6/1/2016,2016,PEEC2146
1,FP2016,5,filter,k,175678.12,14:37,6/1/2016,14:32,6/1/2016,2016,PEEC2147
1,FP2016,6,filter,1,4187.12,14:38,6/1/2016,14:32,6/1/2016,2016,PEEC2148
1,FP2016,6,filter,2,3884.66,14:38,6/1/2016,14:32,6/1/2016,2016,PEEC2149
1,FP2016,6,filter,3,4087.63,14:38,6/1/2016,14:32,6/1/2016,2016,PEEC2150
1,FP2016,6,filter,k,2514.63,14:39,6/1/2016,14:32,6/1/2016,2016,PEEC2151
1,FP2016,7,filter,1,40532.89,14:39,6/1/2016,14:32,6/1/2016,2016,PEEC2152
1,FP2016,7,filter,2,41997.79,14:39,6/1/2016,14:32,6/1/2016,2016,PEEC2153
1,FP2016,7,filter,3,40851.84,14:40,6/1/2016,14:32,6/1/2016,2016,PEEC2154
1,FP2016,7,filter,k,37960.12,14:40,6/1/2016,14:32,6/1/2016,2016,PEEC2155
1,FP2016,1,filter,1,119275.53,15:05,6/1/2016,14:32,6/1/2016,2016,PEEC2156
1,FP2016,1,filter,2,125464.41,15:05,6/1/2016,14:32,6/1/2016,2016,PEEC2157
1,FP2016,1,filter,3,125751.46,15:05,6/1/2016,14:32,6/1/2016,2016,PEEC2158
1,FP2016,1,filter,k,97616.43,15:05,6/1/2016,14:32,6/1/2016,2016,PEEC2159
1,FP2016,2,filter,1,188288.04,15:06,6/1/2016,14:32,6/1/2016,2016,PEEC2160
1,FP2016,2,filter,2,173918.59,15:00,6/1/2016,14:32,6/1/2016,2016,PEEC2161
1,FP2016,2,filter,3,210326.35,15:06,6/1/2016,14:32,6/1/2016,2016,PEEC2162
1,FP2016,2,filter,k,165564.76,15:07,6/1/2016,14:32,6/1/2016,2016,PEEC2163
1,FP2016,3,filter,1,177466.28,15:07,6/1/2016,14:32,6/1/2016,2016,PEEC2164
1,FP2016,3,filter,2,189616.71,15:07,6/1/2016,14:32,6/1/2016,2016,PEEC2165
1,FP2016,3,filter,3,185740.67,15:08,6/1/2016,14:32,6/1/2016,2016,PEEC2166
1,FP2016,3,filter,k,131332.56,15:08,6/1/2016,14:32,6/1/2016,2016,PEEC2167
1,FP2016,4,filter,1,168591.2,15:08,6/1/2016,14:32,6/1/2016,2016,PEEC2168
