fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,bb1,PEEC2016,whole,GGR-AMC,live,3,432672.2814,539469.3754,5790.270248,4762.410095,0.008519105,0.999820939,3,109.7131503,3943.668377,52.77644687,UT
AMC,bb1,PEEC2016,whole,Leu-AMC,killed,k,-10777.32284,143607.9051,9557.045173,7816.830355,0.461841826,0.559795263,3,109.7131503,-98.23182372,87.10938613,UT
AMC,bb1,PEEC2016,whole,Gly-AMC,live,1,8689.190059,259980.303,42036.82268,34382.45876,0.87023552,0.040975886,3,109.7131503,79.19916651,383.1520885,UT
AMC,bb1,PEEC2016,whole,GGR-AMC,live,2,250514.2017,216775.3445,14181.75344,11664.27867,0.036000987,0.99680548,3,109.7131503,2283.356197,129.2621112,UT
AMC,bb1,PEEC2016,whole,Arg-AMC,live,1,136411.3551,191498.1559,30376.99171,25241.48819,0.139490715,0.952753563,3,109.7131503,1243.345531,276.8764877,UT
AMC,bb1,PEEC2016,whole,Arg-AMC,live,3,135898.2221,180160.4224,33912.89778,28026.15226,0.155686384,0.94137728,3,109.7131503,1238.668489,309.1051318,UT
AMC,bb2,PEEC2016,filter,Arg-AMC,live,2,NA,768022.81,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Arg-AMC,killed,k,NA,132106.87,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Arg-AMC,live,1,NA,754839.31,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Pyr-AMC,killed,k,NA,198785.51,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Arg-AMC,live,3,NA,808425.87,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,GGR-AMC,live,2,NA,1725897.81,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Gly-AMC,live,1,NA,427952,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Gly-AMC,live,2,NA,421614.65,NA,NA,NA,0,1,107.8110667,NA,NA,UT
AMC,bb2,PEEC2016,filter,Leu-AMC,killed,k,NA,93695.64,NA,NA,NA,0,1,107.8110667,NA,NA,UT
