"","fluorimeter","substrate","when","treatment","site","slope","int","slope.se","int.se","pval","rsq","n"
"1","MXS","Arg-AMC","PEEC2013","killed","BS",46258.8461538461,-33939.4038461538,5983.43124377347,4648.24426449924,5.58034179884845e-05,0.881955039505254,10
"2","MXS","Arg-AMC","PEEC2013","killed","BW",53.7085056298633,2186.06046217978,381.260425935368,475.795428185055,0.889536439058485,0.00110126449710015,20
"3","MXS","Arg-AMC","PEEC2013","killed","DR",62.7062059118772,2546.46984534226,237.259758127135,486.827029118058,0.793489472039469,0.00248847208822596,30
"4","MXS","Arg-AMC","PEEC2013","killed","GW",35.5011644154634,2466.70274802049,305.63356236296,498.400373532554,0.908815043622442,0.000749005820761332,20
"5","MXS","Arg-AMC","PEEC2013","killed","LL",-69.2406620218833,3585.4457606,301.29273788291,638.60656393133,0.820829227479964,0.00292550065276764,20
"6","MXS","Arg-AMC","PEEC2013","killed","PP",32.5140384217548,2420.44208136758,210.172047633567,418.404773827277,0.878166012327188,0.000854009765459924,30
"7","MXS","Arg-AMC","PEEC2013","killed","RR",-209.853944228112,2822.02169482477,368.398390586164,401.340134545478,0.57596375211187,0.017707896371922,20
"8","MXS","Arg-AMC","PEEC2013","killed","RR2",95231.2653061225,-3664.61224489796,17904.3210237161,1182.3782492794,0.000711979983018191,0.779557730921999,10
"9","MXS","Arg-AMC","PEEC2013","killed","SI",333.730825468563,2085.2597899774,1029.70885401784,414.343208143424,0.749596505195393,0.00580181945636815,20
"10","MXS","Arg-AMC","PEEC2013","killed","SW",97.6225198120073,2899.57797166998,417.870509500044,485.02439226485,0.817917017196182,0.00302293801956923,20
"11","MXS","Arg-AMC","PEEC2013","killed","SW2",98207.7303370786,-4721.21797752808,10240.799064236,851.691411953623,1.15936656293183e-05,0.919972173883236,10
"12","MXS","Arg-AMC","PEEC2013","killed","TW",50.6886411646775,2620.33224230029,234.08812534336,337.537556056251,0.830139441162898,0.0016717750873262,30
"13","MXS","Arg-AMC","PEEC2013","live","BW",73.7049338964073,2306.82323739291,388.087115819634,472.679645381415,0.851498293759218,0.00199982863807148,20
"14","MXS","Arg-AMC","PEEC2013","live","DR",1449.58814887544,4330.56419468636,490.626857019041,989.574987327858,0.00628371383446349,0.237668847367416,30
"15","MXS","Arg-AMC","PEEC2013","live","GW",15.2278938510245,2409.64327074446,292.871384774513,458.921402429441,0.959105238771546,0.00015017169114095,20
"16","MXS","Arg-AMC","PEEC2013","live","LL",806.955329931472,4228.46002795161,937.80942331317,1932.55688891802,0.400847312908296,0.0395085247882909,20
"17","MXS","Arg-AMC","PEEC2013","live","PP",6186.51197661596,4725.4959921256,1265.45853795099,2462.87153108422,3.7593546265491e-05,0.460499804685856,30
"18","MXS","Arg-AMC","PEEC2013","live","RR",1057.12775346572,3047.52324510615,679.48984108777,710.478576613104,0.137170534823446,0.118528979969672,20
"19","MXS","Arg-AMC","PEEC2013","live","RR2",96552,5297,84259.6813067379,1719.94354242528,0.284960376522315,0.140990793752688,10
"20","MXS","Arg-AMC","PEEC2013","live","SI",2582.54725508441,6132.03997740263,3540.61506516252,1290.82816724545,0.475138439967051,0.0287088665884708,20
"21","MXS","Arg-AMC","PEEC2013","live","SW",151.529740605242,3241.01678835219,432.022334260973,482.71233186996,0.729850980521293,0.00678817046421841,20
"22","MXS","Arg-AMC","PEEC2013","live","SW2",-684.567493112943,4903.66877869605,12220.9077639694,1071.99337271737,0.956702736089259,0.000392071539391626,10
"23","MXS","Arg-AMC","PEEC2013","live","TW",1661.12516369213,4346.69184264873,436.705174708806,618.772690495313,0.000709365139198949,0.340690146661287,30
"24","MXS","Arg-AMC","PEEC2015","killed","DR2015",173.385826771653,5340.63779527559,30.6748732024693,34.7642297612133,0.00482653355673279,0.888732252208248,6
"25","MXS","Arg-AMC","PEEC2015","live","DR2015",4118.32204117574,4780.69224079586,112.963600043516,127.698903844994,7.91195204868443e-17,0.988105133320988,18
"26","MXS","Gly-AMC","PEEC2013","killed","BW",-268.91333067593,4706.05304652355,688.045790087648,912.755870786751,0.701073206066109,0.0094567830399777,18
"27","MXS","Gly-AMC","PEEC2013","killed","DR",76.7883752196994,4117.31656294471,377.454867616668,798.896600160075,0.840264567119836,0.00147591521332161,30
"28","MXS","Gly-AMC","PEEC2013","killed","GW",67.3879253164737,4026.7905536582,521.070730854799,900.341434396317,0.898533966110757,0.000928314127194553,20
"29","MXS","Gly-AMC","PEEC2013","killed","LL",177.544388408432,4432.26879499206,542.227237738903,1200.07835364309,0.747583722414513,0.00665626822119168,18
"30","MXS","Gly-AMC","PEEC2013","killed","PP",58.236320244965,3558.7768818944,329.339603986096,681.849939106223,0.86091670379827,0.00111546818975723,30
"31","MXS","Gly-AMC","PEEC2013","killed","RR",156.620352263203,3971.23875895763,721.524074927892,848.327923046079,0.830596134121977,0.00261087969639883,20
"32","MXS","Gly-AMC","PEEC2013","killed","RR2",151759.555555555,-21612.637037037,21878.0293084124,3770.03864518476,0.000120020376781215,0.857439902172443,10
"33","MXS","Gly-AMC","PEEC2013","killed","SI",708.201648278612,3663.90131596438,2103.20757373367,1019.38690867174,0.740218642851638,0.00625964943763059,20
"34","MXS","Gly-AMC","PEEC2013","killed","SW",194.996519153179,4699.56103596023,721.260615251355,889.493839442341,0.789962528718099,0.00404423911038202,20
"35","MXS","Gly-AMC","PEEC2013","killed","SW2",188555.268292683,-26912.6243902438,44214.4612447644,7604.80164667633,0.00274435017331231,0.694498849494512,10
"36","MXS","Gly-AMC","PEEC2013","killed","TW",73.7775617196456,4039.84506256147,392.847651495132,588.278822085102,0.85238627380848,0.0012580431497461,30
"37","MXS","Gly-AMC","PEEC2013","live","BW",450.99504962914,3761.98990086715,889.95026273857,1141.24531207822,0.618471662809724,0.0140665366003265,20
"38","MXS","Gly-AMC","PEEC2013","live","DR",1086.72590882703,5472.51659742532,637.119598473005,1325.38289486936,0.0991377853363469,0.0941256610560877,30
"39","MXS","Gly-AMC","PEEC2013","live","GW",108.543454771083,3941.79075486121,535.345872725803,901.055119526432,0.841601602431722,0.00227863691788856,20
"40","MXS","Gly-AMC","PEEC2013","live","LL",869.55064465217,3432.99051752663,697.506246283007,1525.25028190272,0.222852177904848,0.0525865953957099,30
"41","MXS","Gly-AMC","PEEC2013","live","PP",2401.23758935191,4363.39237275737,760.414619189132,1544.99341889426,0.00378798278896825,0.262608797778029,30
"42","MXS","Gly-AMC","PEEC2013","live","RR",2188.38878446321,4916.45235875971,1094.14402764528,1236.047846167,0.0608107002522895,0.181831877089274,20
"43","MXS","Gly-AMC","PEEC2013","live","RR2",359934,-30587.84,60156.8578285137,7061.13852506333,0.000329489302425801,0.817348996539431,10
"44","MXS","Gly-AMC","PEEC2013","live","SI",1552.12003190217,6382.6711883557,3216.65298691298,1423.77021455495,0.635247893430486,0.0127699165897343,20
"45","MXS","Gly-AMC","PEEC2013","live","SW",181.507466939309,4980.74026951377,721.008329732052,863.664790157067,0.804092928867187,0.00350840372219874,20
"46","MXS","Gly-AMC","PEEC2013","live","SW2",177527.632653061,-17613.4816326531,41084.8100346731,5430.69428803403,0.0025426243080712,0.700049601767677,10
"47","MXS","Gly-AMC","PEEC2013","live","TW",410.603344985857,4623.80739446016,476.876436650804,700.838328618047,0.396536895745043,0.0257944230761693,30
"48","MXS","Gly-AMC","PEEC2015","killed","DR2015",323.652622754097,2566.41939407887,47.3668940535233,54.3124703051679,0.00239956606132828,0.921086389992629,6
"49","MXS","Gly-AMC","PEEC2015","live","DR2015",1514.65831704265,2515.49408130623,190.92182580743,218.513581930262,6.17972566283614e-07,0.797311235005163,18
"50","MXS","Leu-AMC","PEEC2013","killed","BW",-213.293449167741,2570.83833552626,480.102811893472,676.478510354534,0.662145234791439,0.0108462060677068,20
"51","MXS","Leu-AMC","PEEC2013","killed","DR",45.3389792404621,2122.44729521021,188.621662039414,413.168835213482,0.811794690653951,0.00205924050229481,30
"52","MXS","Leu-AMC","PEEC2013","killed","GW",58.9491705295791,2130.66432427598,256.5262756395,462.829732170867,0.820840041636375,0.00292514194532043,20
"53","MXS","Leu-AMC","PEEC2013","killed","LL",81099.8571428544,-249672.292857134,11635.6764042674,36178.6939356361,0.000217293355638938,0.874055263146139,9
"54","MXS","Leu-AMC","PEEC2013","killed","PP",34.1912781456551,2059.07797937093,173.800905083835,372.163299595957,0.845462405757158,0.0013802848111726,30
"55","MXS","Leu-AMC","PEEC2013","killed","RR",40.3652892582069,2273.1228388409,347.691944720493,444.936644880665,0.908862699632865,0.000748219986967717,20
"56","MXS","Leu-AMC","PEEC2013","killed","RR2",87458.0000000001,-25353.2133333334,9484.87283520459,3006.03804738252,1.55014793070838e-05,0.913999697110972,10
"57","MXS","Leu-AMC","PEEC2013","killed","SI",254.718463378971,1871.65499135983,933.459579446309,534.53637268824,0.788054711845069,0.00411968926146887,20
"58","MXS","Leu-AMC","PEEC2013","killed","SW",-296.555742319038,2471.48317182679,430.726770387375,568.679876870191,0.499915762594645,0.0256594428207564,20
"59","MXS","Leu-AMC","PEEC2013","killed","SW2",89311.7142857146,-21972.3928571429,10657.6855433805,2880.64357586577,3.12195266706216e-05,0.897730756193912,10
"60","MXS","Leu-AMC","PEEC2013","killed","TW",69.9180247569878,2660.45857989275,301.404073277548,468.599244106752,0.818244990001619,0.00191817480690094,30
"61","MXS","Leu-AMC","PEEC2013","live","BS",1939649.50000001,-1631924.95833334,1267599.16250478,1151547.93030967,0.176847354333851,0.280699547988766,8
"62","MXS","Leu-AMC","PEEC2013","live","BW",69.3673143831566,1902.93799570023,323.942049117958,442.286030572971,0.832848845233822,0.00254095911652082,20
"63","MXS","Leu-AMC","PEEC2013","live","DR",5923.28495319865,8888.94066539601,1514.36775978449,3258.09105594671,0.000532633699472864,0.35333353054088,30
"64","MXS","Leu-AMC","PEEC2013","live","GW",69.7391501288114,2225.55765365343,297.74073404105,526.598163492674,0.817451649935087,0.00303866345463517,20
"65","MXS","Leu-AMC","PEEC2013","live","LL",4298.75253833384,3260.31288968646,1559.30441821686,3559.08837658493,0.0129814521439214,0.296879556207264,20
"66","MXS","Leu-AMC","PEEC2013","live","PP",8066.87882757506,5545.02484653287,1540.23631262543,3244.40297784651,1.4494245719074e-05,0.494864448399075,30
"67","MXS","Leu-AMC","PEEC2013","live","RR",6924.41157921469,5352.63925149086,1860.92910050179,2291.3181541553,0.00156397473695421,0.434769560491531,20
